accidentDate,accidentTime,accidentDay,settlementType,settlement,district,streetType,streetName,houseNumber,locationComments,accidentType,mainAccidentCause,totalParticipantsAmount,injuryStatusParticipant1,injuryStatusParticipant2,injuryStatusParticipant3,injuryStatusParticipant4,injuryStatusParticipant5,injuryStatusParticipant6,injuryStatusParticipant7,injuryStatusParticipant8,injuryStatusParticipant9,injuryStatusParticipant10,injuryStatusParticipant11,latitude,longitude,cluster
2024-07-29,9:11:00 PM,понеділок,місто,Львів,Франківський,вулиця,Княгині Ольги,,,наїзд на пішохода - на нерегульованому пішохідному переході,перехід пішоходів у невстановленому місці,2,без ушкоджень,легко травмований,,,,,,,,,,49.81379143241662,24.001095699014908,0
2024-07-18,9:53:00 AM,четвер,місто,Львів,Сихівський,проспект,"Червоної Калини, просп.",60,,зіткнення з задньою частиною тз,перевищення безпечної швидкості,11,без ушкоджень,без ушкоджень,без ушкоджень,помер у лікарні протягом 30 діб,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,легко травмований,49.796319,24.053954,2
2024-07-30,10:24:00 PM,вівторок,місто,Львів,Залізничний,вулиця,Шевченка Т.,180,,зіткнення з задньою частиною тз,недодержання дистанції,2,без ушкоджень,легко травмований,,,,,,,,,,49.854538,23.983347,0
2024-07-12,9:01:00 AM,п'ятниця,місто,Львів,Франківський,вулиця,Наукова,30,,наїзд на велосипедиста - поза межами велосипедної доріжки,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.804669,23.998757,0
2024-07-13,10:12:00 AM,субота,місто,Львів,Личаківський,вулиця,Глинянський Тракт,10,,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.842667,24.106225,1
2024-07-23,3:48:00 PM,вівторок,місто,Львів,Сихівський,вулиця,Зелена,272,,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.802368,24.067011,2
2024-07-24,12:30:00 PM,середа,місто,Львів,Сихівський,вулиця,Кам'янецька,44,,падіння пасажира,порушення техніки безпеки пасажиром,2,без ушкоджень,легко травмований,,,,,,,,,,49.810722,24.037995,2
2024-07-15,10:15:00 PM,понеділок,місто,Львів,Франківський,вулиця,Городоцька,160,,наїзд на пішохода - на нерегульованому пішохідному переході,перехід у невстановленому місці,2,без ушкоджень,легко травмований,,,,,,,,,,49.831822,23.97766,0
2024-07-17,6:10:00 PM,середа,місто,Львів,Галицький,вулиця,Митрополита Андрея,38,,наїзд на пішохода - на нерегульованому пішохідному переході,порушення правил проїзду нерегульованих пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.835654,24.006779,0
2024-07-12,9:15:00 AM,п'ятниця,місто,Львів,Галицький,вулиця,Вітовського Д.,,,"наїзд на пішохода - пішоходний перехід, тз здійснював поворот вліво (вправо)",порушення правил проїзду пішохідних переходів,2,без ушкоджень,легко травмований,,,,,,,,,,49.832012,24.023665,4
2024-08-05,1:16:00 PM,понеділок,місто,Львів,Залізничний,вулиця,Городоцька,199,,зіткнення з задньою частиною тз,недодержання дистанції,4,без ушкоджень,без ушкоджень,легко травмований,легко травмований,,,,,,,,49.829872,23.96358,0
2024-08-06,11:20:00 AM,вівторок,місто,Львів,Франківський,площа,"Липнева, пл.",2,,зіткнення з задньою частиною тз,порушення правил маневрування,2,без ушкоджень,легко травмований,,,,,,,,,,49.834678,24.002504,0
2024-08-05,11:51:00 PM,понеділок,місто,Львів,Галицький,вулиця,Зелена,,вул. Зелена - вул. Липова Алея,наїзд на пішохода - на нерегульованому пішохідному переході,інші порушення правил проїзду нерегульованих перехресть,2,без ушкоджень,легко травмований,,,,,,,,,,49.820982,24.055617,2
